2003001期 | 10 11 12 13 26 28 | 11
2003002期 | 04 09 19 20 21 26 | 12
2003003期 | 01 07 10 23 28 32 | 16
2003004期 | 04 06 07 10 13 25 | 03
2003005期 | 04 06 15 17 30 31 | 16
2003006期 | 01 03 10 21 26 27 | 06
2003007期 | 01 09 19 21 23 26 | 07
2003008期 | 05 08 09 14 17 23 | 08
2003009期 | 05 09 18 20 22 30 | 09
2003010期 | 01 02 08 13 17 24 | 13
2003011期 | 04 05 11 12 30 32 | 15
2003012期 | 02 12 16 17 27 30 | 12
2003013期 | 08 13 17 21 23 32 | 12
2003014期 | 03 05 07 08 21 31 | 02
2003015期 | 04 11 19 25 26 32 | 13
2003016期 | 11 17 28 30 31 33 | 06
2003017期 | 05 08 18 23 25 31 | 06
2003018期 | 05 16 19 20 25 28 | 13
2003019期 | 04 08 12 13 16 33 | 09
2003020期 | 07 10 25 26 27 32 | 04
2003021期 | 14 15 18 25 26 30 | 01
2003022期 | 02 07 11 12 14 32 | 08
2003023期 | 01 10 20 22 26 31 | 02
2003024期 | 02 07 15 17 22 30 | 14
2003025期 | 01 05 11 13 14 27 | 12
2003026期 | 08 13 15 26 29 31 | 16
2003027期 | 01 11 14 17 27 28 | 15
2003028期 | 06 13 16 20 28 32 | 07
2003029期 | 02 07 15 26 29 32 | 10
2003030期 | 02 06 13 14 23 27 | 07
2003031期 | 11 17 20 22 28 32 | 01
2003032期 | 04 11 25 27 29 30 | 13
2003033期 | 01 07 14 20 27 30 | 10
2003034期 | 08 13 14 16 23 25 | 14
2003035期 | 03 04 05 08 10 11 | 08
2003036期 | 07 21 24 25 27 28 | 15
2003037期 | 09 14 17 18 26 32 | 07
2003038期 | 05 07 08 24 25 27 | 16
2003039期 | 03 05 23 24 27 32 | 03
2003040期 | 04 05 06 12 14 23 | 16
2003041期 | 02 03 17 18 24 25 | 11
2003042期 | 03 05 07 10 15 20 | 07
2003043期 | 02 08 10 19 20 32 | 13
2003044期 | 02 05 09 16 32 33 | 15
2003045期 | 03 07 14 15 17 32 | 03
2003046期 | 07 08 10 11 17 26 | 11
2003047期 | 03 17 26 28 32 33 | 16
2003048期 | 10 12 20 28 30 31 | 09
2003049期 | 03 06 07 13 24 25 | 15
2003050期 | 02 08 17 23 24 26 | 13
2003051期 | 04 13 15 17 24 27 | 01
2003052期 | 01 12 13 23 30 31 | 11
2003053期 | 15 19 20 21 28 29 | 13
2003054期 | 02 05 09 21 31 33 | 12
2003055期 | 06 13 16 21 28 31 | 16
2003056期 | 08 17 21 26 28 29 | 07
2003057期 | 18 19 24 25 30 31 | 16
2003058期 | 09 11 16 28 32 33 | 02
2003059期 | 02 03 05 06 18 30 | 04
2003060期 | 02 04 06 17 21 28 | 11
2003061期 | 03 05 20 21 28 32 | 02
2003062期 | 01 06 12 19 20 32 | 14
2003063期 | 05 08 09 14 21 33 | 11
2003064期 | 04 06 08 12 15 30 | 01
2003065期 | 06 15 16 17 30 33 | 11
2003066期 | 03 07 08 20 24 32 | 14
2003067期 | 05 11 12 13 27 31 | 10
2003068期 | 09 19 25 27 32 33 | 11
2003069期 | 07 11 16 19 26 28 | 11
2003070期 | 01 02 04 17 18 19 | 08
2003071期 | 09 11 12 14 15 33 | 11
2003072期 | 03 06 08 11 19 27 | 11
2003073期 | 02 12 14 21 23 30 | 13
2003074期 | 02 12 19 22 27 32 | 01
2003075期 | 16 17 19 22 31 33 | 11
2003076期 | 01 13 16 18 20 29 | 02
2003077期 | 04 12 16 22 24 25 | 06
2003078期 | 07 12 23 26 29 30 | 11
2003079期 | 12 15 22 23 26 31 | 04
2003080期 | 09 20 24 25 28 30 | 10
2003081期 | 01 02 14 26 29 30 | 07
2003082期 | 07 17 18 19 30 31 | 14
2003083期 | 01 03 14 18 26 28 | 01
2003084期 | 02 06 07 10 17 33 | 03
2003085期 | 01 04 11 12 19 27 | 14
2003086期 | 05 12 16 18 26 30 | 13
2003087期 | 02 03 04 05 24 28 | 13
2003088期 | 03 10 21 22 24 33 | 12
2003089期 | 18 19 21 26 27 33 | 16
2004001期 | 01 02 03 07 10 25 | 07
2004002期 | 10 12 18 22 30 31 | 11
2004003期 | 03 05 06 17 26 33 | 08
2004004期 | 10 19 22 23 25 29 | 09
2004005期 | 09 11 13 16 17 18 | 07
2004006期 | 04 12 18 20 23 32 | 06
2004007期 | 04 12 17 20 25 28 | 09
2004008期 | 01 07 10 22 32 33 | 13
2004009期 | 01 09 10 16 22 24 | 11
2004010期 | 06 07 08 13 14 19 | 15
2004011期 | 01 04 13 23 28 30 | 03
2004012期 | 01 07 27 30 31 33 | 08
2004013期 | 12 14 21 29 30 32 | 13
2004014期 | 03 07 11 17 20 26 | 12
2004015期 | 01 03 05 18 22 23 | 13
2004016期 | 04 07 08 28 30 32 | 05
2004017期 | 05 12 14 15 25 31 | 09
2004018期 | 02 05 06 08 28 30 | 06
2004019期 | 05 10 11 23 24 32 | 04
2004020期 | 01 02 09 22 28 31 | 04
2004021期 | 05 09 11 17 26 27 | 10
2004022期 | 03 10 14 19 20 30 | 06
2004023期 | 01 08 14 17 19 30 | 03
2004024期 | 01 13 21 23 25 32 | 06
2004025期 | 07 08 10 24 29 33 | 04
2004026期 | 04 10 14 18 28 32 | 15
2004027期 | 01 05 09 10 18 32 | 11
2004028期 | 01 02 03 05 10 22 | 12
2004029期 | 09 13 20 22 24 32 | 05
2004030期 | 01 07 09 17 26 31 | 05
2004031期 | 03 06 19 20 21 24 | 11
2004032期 | 02 05 08 11 15 31 | 13
2004033期 | 01 04 08 09 19 20 | 01
2004034期 | 02 07 13 20 27 30 | 14
2004035期 | 02 08 26 27 30 32 | 16
2004036期 | 02 13 17 18 26 30 | 01
2004037期 | 03 04 11 17 20 26 | 05
2004038期 | 11 16 17 25 28 29 | 07
2004039期 | 10 16 18 25 26 29 | 03
2004040期 | 07 17 19 20 21 29 | 11
2004041期 | 08 10 17 22 25 29 | 14
2004042期 | 06 10 13 17 18 21 | 02
2004043期 | 04 09 10 21 22 24 | 10
2004044期 | 02 06 07 12 31 32 | 05
2004045期 | 01 12 18 26 27 28 | 13
2004046期 | 07 15 16 22 23 32 | 14
2004047期 | 01 07 08 11 27 31 | 06
2004048期 | 08 09 11 16 17 29 | 09
2004049期 | 11 12 14 16 25 29 | 09
2004050期 | 06 07 19 21 25 29 | 02
2004051期 | 02 03 09 10 15 29 | 11
2004052期 | 01 12 14 15 17 29 | 09
2004053期 | 02 03 04 09 24 25 | 02
2004054期 | 09 11 14 16 27 28 | 11
2004055期 | 06 08 19 25 29 32 | 07
2004056期 | 01 20 21 25 29 30 | 02
2004057期 | 05 21 23 25 28 32 | 04
2004058期 | 01 08 11 12 27 31 | 12
2004059期 | 04 07 11 19 23 26 | 10
2004060期 | 03 05 11 24 27 28 | 15
2004061期 | 13 16 19 20 23 33 | 09
2004062期 | 01 12 25 27 28 29 | 13
2004063期 | 07 10 13 16 27 28 | 07
2004064期 | 14 15 18 20 27 31 | 04
2004065期 | 13 14 27 29 32 33 | 08
2004066期 | 05 13 20 23 24 25 | 03
2004067期 | 01 06 07 13 16 32 | 04
2004068期 | 02 08 11 13 24 31 | 15
2004069期 | 02 11 15 20 22 29 | 05
2004070期 | 10 12 21 22 30 33 | 06
2004071期 | 03 08 16 17 21 29 | 06
2004072期 | 08 15 18 28 30 33 | 14
2004073期 | 02 07 13 16 23 28 | 16
2004074期 | 05 06 15 19 26 29 | 13
2004075期 | 07 18 21 26 27 28 | 07
2004076期 | 03 05 13 17 25 31 | 07
2004077期 | 08 09 10 14 16 26 | 07
2004078期 | 04 05 10 21 24 26 | 05
2004079期 | 07 13 14 17 19 30 | 03
2004080期 | 03 08 20 23 24 26 | 16
2004081期 | 03 05 21 24 27 32 | 06
2004082期 | 03 20 24 27 29 30 | 15
2004083期 | 14 16 27 28 30 33 | 06
2004084期 | 01 04 08 11 21 25 | 14
2004085期 | 03 08 11 29 30 32 | 01
2004086期 | 10 13 18 19 25 27 | 01
2004087期 | 01 03 07 08 25 26 | 14
2004088期 | 02 10 19 22 24 32 | 14
2004089期 | 14 17 20 25 28 30 | 14
2004090期 | 01 18 20 24 32 33 | 12
2004091期 | 09 13 14 21 30 33 | 01
2004092期 | 01 04 08 13 28 31 | 02
2004093期 | 11 14 20 27 32 33 | 05
2004094期 | 05 09 10 13 24 25 | 08
2004095期 | 19 22 27 28 30 32 | 01
2004096期 | 01 04 12 16 20 30 | 15
2004097期 | 10 19 20 26 29 31 | 14
2004098期 | 03 12 13 25 26 31 | 03
2004099期 | 05 10 21 22 26 33 | 02
2004100期 | 06 08 09 14 24 33 | 15
2004101期 | 02 09 14 19 25 26 | 15
2004102期 | 03 09 12 15 28 32 | 01
2004103期 | 02 03 05 09 16 21 | 02
2004104期 | 07 11 17 18 24 29 | 05
2004105期 | 07 09 10 21 23 30 | 12
2004106期 | 10 15 23 26 28 29 | 12
2004107期 | 01 08 12 13 18 20 | 07
2004108期 | 08 13 14 27 28 31 | 12
2004109期 | 06 08 10 17 30 31 | 14
2004110期 | 14 19 20 21 22 31 | 11
2004111期 | 11 16 18 20 26 31 | 02
2004112期 | 09 13 15 21 26 33 | 06
2004113期 | 08 10 23 25 31 32 | 07
2004114期 | 01 06 09 17 21 22 | 01
2004115期 | 02 16 20 30 31 33 | 01
2004116期 | 01 03 05 08 14 33 | 03
2004117期 | 01 03 07 14 24 25 | 07
2004118期 | 03 04 07 12 30 31 | 15
2004119期 | 06 09 18 20 25 33 | 06
2004120期 | 07 08 18 21 27 32 | 10
